Contract,Expiry,Month,Code,BB Suffix,BB Ticker,Region,Description,Last,Net Ch,Time,High,Low,NAME,Full Description,FUT_GEN_MONTH,NAME,ID_BB_GLOBAL_COMPANY_NAME,COUNTRY,COUNTRY_ISO,COUNTRY_FULL_NAME,NEWS_TOPIC,TODAY_DT,FUT_TRADING_HRS,FUT_FIRST_TRADE_DT,FUT_ROLL_DT,FEED_CODE,ID_BB,ID_BB_SEC_NUM,ID_EXCH_SYMBOL,PRICE_LAST_TIME,ID_ISIN,ID_MIC_PRIM_EXCH,SECURITY_DES,SHORT_NAME,SECURITY_NAME,SECURITY_NAME_LANG,FUT_LONG_NAME,SECURITY_DESCRIPTION_RT,TICKER,UNDL_SPOT_TICKER,TICKER_RT,FUT_CONT_SIZE,FUT_NUM_GEN_AVAIL,CRNCY,QUOTE_UNITS,FUT_DLV_DT_FIRST,FUT_DLV_DT_LAST,LAST_TRADEABLE_DT,FUT_DAYS_EXPIRE,FUT_ACT_DAYS_EXP,FUT_MONTH_YR,FUT_CONTRACT_DT,CURRENT_CONTRACT_MONTH_YR,MARKET_SECTOR_DES,MARKET_SECTOR,UNDL_MARKET_SECTOR,BB_COUNTRY_CODE,CALENDAR_CODE,CDR_SETTLE_CODE,CASH_SETTLED,CASH_SETTLED_RT
DM,Mar17,H7,DMH7,Index,DMH7 Index,US,Dow Jones mini,17850,32,0.383333333,17860,17782,DJIA MINI e-CBOT,CBOT $5 Mini Dow Jones Industrial Average e-CBOT Future,HMUZ,DJIA MINI e-CBOT  Sep16,CBOT $5 Mini Dow Jones Industrial Average e-CBOT Future,US,US,UNITED STATES,USS,23/01/2017,23:00-22:00,18/03/2016,17/03/2017,CBOT,DMH7,60312140,YM,09:14:06,#N/A Field Not Applicable,XCBT,DMH7,DJIA MINI e-CBOT  Mar17,DJIA MINI e-CBOT  Mar17,1,DJIA MINI e-CBOT  Mar17,DMH7,DMH7,INDU,DMH7,5,4,USD,index points,17/03/2017,17/03/2017,17/03/2017,56,53,MAR 17,03/2017,MAR 17,Index,9,9,US,CB,CB,Y,TRUE
SP,Mar17,H7,SPH7,COMB Index,SPH7 COMB Index,US,S&P 500,2094.6,2.6,0.374305556,2096,2088,S&P 500 FUTURE,CME Standard & Poor's 500 Index Future,HMUZ,S&P 500 FUTURE    Sep16,CME Standard & Poor's 500 Index Future,US,US,UNITED STATES,USS,23/01/2017,23:00-22:00 & 14:30-21:15,20/03/2015,16/03/2017,CME,SPH7,49627205,SP,09:13:32,#N/A Field Not Applicable,XCME,SPH7 COMB,S&P 500 FUTURE    Mar17,S&P 500 FUTURE    Mar17,1,S&P 500 FUTURE    Mar17,SPH7 COMB,SPH7,SPX,SPH7,250,11,USD,index points,17/03/2017,17/03/2017,16/03/2017,55,52,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
ES,Mar17,H7,ESH7,Index,ESH7 Index,US,S&P 500 mini,2096.25,4.25,0.383333333,2097.25,2087.5,S&P500 EMINI FUT,CME E-Mini Standard & Poor's 500 Index Future,HMUZ,S&P500 EMINI FUT  Sep16,CME E-Mini Standard & Poor's 500 Index Future,US,US,UNITED STATES,USS,23/01/2017,23:00-22:00,18/12/2015,17/03/2017,CME,ESH7,57543397,ES,09:14:10,#N/A Field Not Applicable,XCME,ESH7,S&P500 EMINI FUT  Mar17,S&P500 EMINI FUT  Mar17,1,S&P500 EMINI FUT  Mar17,ESH7,ESH7,SPX,ESH7,50,5,USD,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
NQ,Mar17,H7,NQH7,Index,NQH7 Index,US,NASDAQ 100 mini,4463.75,11.5,0.383333333,4466,4439.75,NASDAQ 100 E-MINI,CME E-Mini NASDAQ 100 Index Future,HMUZ,NASDAQ 100 E-MINI Sep16,CME E-Mini NASDAQ 100 Index Future,US,US,UNITED STATES,USS,23/01/2017,23:00-22:00,18/12/2015,17/03/2017,CME,NQH7,57543415,NQ,09:14:09,#N/A Field Not Applicable,XCME,NQH7,NASDAQ 100 E-MINI Mar17,NASDAQ 100 E-MINI Mar17,1,NASDAQ 100 E-MINI Mar17,NQH7,NQH7,NDX,NQH7,20,5,USD,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
FA,Mar17,H7,FAH7,Index,FAH7 Index,US,S&P 400 mini,1495,6.4,0.381944444,1495.5,1488,S&P MID 400 EMINI,CME E-Mini Standard & Poor's MidCap 400 Index Future,HMUZ,S&P MID 400 EMINI Sep16,CME E-Mini Standard & Poor's MidCap 400 Index Future,US,US,UNITED STATES,#N/A N/A,23/01/2017,23:00-22:00,18/12/2015,17/03/2017,CME,FAH7,57543398,EMD,09:13:56,#N/A Field Not Applicable,XCME,FAH7,S&P MID 400 EMINI Mar17,S&P MID 400 EMINI Mar17,1,S&P MID 400 EMINI Mar17,FAH7,FAH7,MID,FAH7,100,5,USD,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
RM,Mar17,H7,RMH7,Index,RMH7 Index,US,Russell 1000 mini,1157.6,-0.9,42558,1162.9,1152.3,RUSSELL 1000 MINI,NYBOT NYF Russell 1000 Mini Index Future,HMUZ,RUSSELL 1000 MINI Sep16,NYBOT NYF Russell 1000 Mini Index Future,US,US,UNITED STATES,#N/A N/A,23/01/2017,01:00-23:00,21/03/2016,17/03/2017,ICE US,RMH7,60554240,RF,18:00:00,#N/A Field Not Applicable,IFUS,RMH7,RUSSELL 1000 MINI Mar17,RUSSELL 1000 MINI Mar17,1,RUSSELL 1000 MINI Mar17,RMH7,RMH7,RIY,RMH7,50,4,USD,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,US,NB,NB,Y,TRUE
RTA,Mar17,H7,RTAH7,Index,RTAH7 Index,US,Russell 2000 mini,1150.9,4.8,0.383333333,1151.3,1144.3,Russell 2000 Mini,NYBOT NYF Mini Russell 2000 Index Future,HMUZ,Russell 2000 Mini Sep16,NYBOT NYF Mini Russell 2000 Index Future,US,US,UNITED STATES,USS,23/01/2017,01:00-23:00,21/03/2016,17/03/2017,ICE US,RTAH7,60556267,TF,09:14:05,#N/A Field Not Applicable,IFUS,RTAH7,Russell 2000 Mini Mar17,Russell 2000 Mini Mar17,1,Russell 2000 Mini Mar17,RTAH7,RTAH7,RTY,RTAH7,50,4,USD,index points,17/03/2017,17/03/2017,17/03/2017,55,53,MAR 17,03/2017,MAR 17,Index,9,9,US,NB,NB,Y,TRUE
SU,Mar17,H7,SUH7,Index,SUH7 Index,US,S&P Citi Value,908.1,-1.6,42558,,,S&P Citigrp Value,CME Standard & Poor's Barra Value Index Future,HMUZ,S&P Citigrp Value Sep16,CME Standard & Poor's Barra Value Index Future,US,US,UNITED STATES,#N/A N/A,23/01/2017,23:00-22:00,16/09/2016,16/03/2017,CME,SUH7,65684412,SU,14:03:10,#N/A Field Not Applicable,XCME,SUH7,S&P Citigrp Value Mar17,S&P Citigrp Value Mar17,1,S&P Citigrp Value Mar17,SUH7,SUH7,IVX,SUH7,250,2,USD,index points,16/03/2017,16/03/2017,16/03/2017,55,52,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
SG,Mar17,H7,SGH7,Index,SGH7 Index,US,S&P Citi Growth,1175.2,0.2,42558,,,S&P CitiGrp Growt,CME Standard & Poor's Barra Growth Index Future,HMUZ,S&P CitiGrp Growt Sep16,CME Standard & Poor's Barra Growth Index Future,US,US,UNITED STATES,#N/A N/A,23/01/2017,23:00-22:00,16/09/2016,16/03/2017,CME,SGH7,65684415,SG,14:03:33,#N/A Field Not Applicable,XCME,SGH7,S&P CitiGrp Growt Mar17,S&P CitiGrp Growt Mar17,1,S&P CitiGrp Growt Mar17,SGH7,SGH7,IGX,SGH7,250,4,USD,index points,16/03/2017,16/03/2017,16/03/2017,55,52,MAR 17,03/2017,MAR 17,Index,9,9,US,CE,CE,Y,TRUE
PT,Mar17,H7,PTH7,Index,PTH7 Index,Canada,S&P/TSX Comp,818.5,-5.5,42558,825.5,815.1,S&P/TSX 60 IX FUT,Montreal Exchange S&P/TSX 60 Index Future,HMUZ,S&P/TSX 60 IX FUT Sep16,Montreal Exchange S&P/TSX 60 Index Future,CA,CA,CANADA,#N/A N/A,23/01/2017,11:00-14:15 & 14:30-21:15,18/03/2016,16/03/2017,MONTREAL,PTH7,4879204,SXF,09:02:19,#N/A Field Not Applicable,XMOD,PTH7,S&P/TSX 60 IX FUT Mar17,S&P/TSX 60 IX FUT Mar17,1,S&P/TSX 60 IX FUT Mar17,PTH7,PTH7,SPTSX60,PTH7,200,4,CAD,index points,17/03/2017,17/03/2017,16/03/2017,55,52,MAR 17,03/2017,MAR 17,Index,9,9,CA,ML,ML,Y,TRUE
