BB_TICKER,EXCH_NAME,City,Country,EXCH_CODE,EXCH_FEED,TIME_ZONE_NUM,TICKER,NAME,ID_EXCH_SYMBOL,ID_BB,ID_BB_PARSEKEY,FEED_CODE,FEED_SOURCE,TICKER_RT,FUT_GEN_MONTH,FUT_TRADING_UNITS,PX_SCALING_FACTOR,FUT_CONT_SIZE,FUT_TICK_SIZE,FUT_TICK_VAL,TRADING_DAY_START_TIME_EOD,TRADING_DAY_END_TIME_EOD,CRNCY,QUOTED_CRNCY,SES_START,SES_END,FUT_TRADING_HRS,SECURITY_TYP2,SECURITY_TYP,FUTURES_CATEGORY,ASSET_CLASS,PRODUCT,EXPOSURE,TRADE,INDEX,ID_RIC,CODE,DISPLAY_NAME,EXCH_ID,TRD_UNITS,LOTSUNITS,OPEN_INT
DMU6 Index,Chicago Board of Trade,Chicago,United States of America,CBT,XCBT,-5,DMU6,DJIA Index MINI,YM,DM,DMmY Index,CBOT,eCBT,DMU6,HMUZ,$ x index,1,5,1,5,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,FALSE,YM,YMc1,DJ MINI($5) SEP6,CBT,1DP ,INDEX,120973
SPU6 Index,Chicago Mercantile Exchange,Chicago,United States of America,CME,XCME,-5,SPU6,S&P 500 Index,SP,SP,SPmY Index,CME,cCME,SPU6,HMUZ,$ x index,1,250,0.1,25,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00 & 14:30-21:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,SP,SPc1,SP500 IDX SEP6  ,IOM,2DP ,INDEX,94298
ESU6 Index,Chicago Mercantile Exchange,Chicago,United States of America,CME,XCME,-5,ESU6,S&P 500 Index MINI,ES,ES,ESmY Index,CME,eCME,ESU6,HMUZ,$ x index,1,50,0.25,12.5,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,FALSE,ES,ESc1,EMINI S&P SEP6  ,IOM,2DP ,INDEX,2929258
NQU6 Index,Chicago Mercantile Exchange,Chicago,United States of America,CME,XCME,-5,NQU6,NASDAQ 100 Index MINI,NQ,NQ,NQmY Index,CME,eCME,NQU6,HMUZ,index points,1,20,0.25,5,23:00:00,22:00:00,USD,USD,23:00:00,22:00:00,23:00-22:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,NQ,NQc1,NAS EMIN SEP6   ,IOM,2DP ,INDEX,241010
RMU6 Index,ICE Futures US Indices,New York,United States of America,NYF,IFUS,-4,RMU6,RUSSELL 1000 Index MINI,RF,RMU6,RMmY Index,ICE US,eNYB,RMU6,HMUZ,$ x index,1,100,0.1,10,01:00:00,23:00:00,USD,USD,01:00:00,23:00:00,01:00-23:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,RMF,RMFc1,ICE Mi R1K SEP6,   ,2DP ,INDEX,5394
RTAU6 Index,ICE Futures US Indices,New York,United States of America,NYF,IFUS,-4,RTAU6,RUSSELL 2000 Index MINI,TF,RTA,RTAmY Index,ICE US,eNYB,RTAU6,HMUZ,$ x index,1,100,0.1,10,01:00:00,23:00:00,USD,USD,01:00:00,23:00:00,01:00-23:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,FALSE,TFS,TFSc1,MiRU2K SEP6,   ,2DP ,INDEX,329306
PTU6 Index,Montreal Exchange,Montreal,Canada,MSE,XMOD,-4,PTU6,S&P/TSX 60 Index,SXF,PT,PTmY Index,MONTREAL,MSE,PTU6,HMUZ,CAD x index,1,200,0.1,20,11:00:00,21:15:00,CAD,CAD,11:00:00,21:15:00,11:00-21:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,TRUE,SXF,SXFc1,S&P/TSX 60 SEP/d,MON,2DP ,INDEX,232702
NKU6 Index,Osaka Exchange,Osaka,Japan,OSE,XOSE,9,NKU6,NIKKEI 225 Index (OSE),NK225,NKU6,NKmY Index,JAPAN,cJO,NKU6,HMUZ,¥ x index,1,1000,10,10000,08:30:00,07:16:00,JPY,JPY,08:30:00,07:16:00,08:30-21:30 & 00:45-07:15,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,FALSE,JNI,JNIc1,N225 SEP6/d,OSA,INT ,INDEX,356542
NHU6 Index,Chicago Mercantile Exchange,Chicago,United States of America,CME,XCME,-5,NHU6,NIKKEI 225 Index (CME),NIY,NHU6,NIYmY Index,CME,eCME,NHU6,HMUZ,¥ x index,1,500,5,2500,23:00:00,22:00:00,JPY,JPY,23:00:00,22:00:00,23:00-22:00,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,TRUE,FALSE,NK,NKc1,NIK STK AV SEP6 ,IOM,2DP ,INDEX,37256
NIU6 Index,Singapore Exchange (was SIMEX),Singapore,Singapore,SGX,XSIM,8,NIU6,NIKKEI 225 Index (SGX),NK,NIU6,NHU6 Index,SIMEX,cSGX,NIU6,HMUZ,¥ x index,1,500,5,2500,07:59:00,07:30:00,JPY,JPY,07:59:00,07:30:00,08:15-19:00 & 00:30-07:25,Future,Physical index future,Equity Index,EQ,FUTURE,DERIVATIVE,FALSE,TRUE,SSI,SSIc1,NIKKEI 225 AUG/d,SIM,2DP ,INDEX,2333
