EQY_TURNOVER_REALTIME,1757108003,458581.0012,282094858.3,493875884.8,33227.60205,40542704.58,4050867.024,408997510,6469790215,923488890,35513094,38466048,2793455.231,385266848,265190687,112478044,32972225,3925071699,969303937,857689450,513490099.5,625507240,2508791552,625507240,0,0,0,12351.95038,199.0450134,2975126.006,29249372.2,192295007.9,499984956.2,29936175,137177124.5,3364447.531,187343.1123,274128.77,2271669.477,7781159.816,23998138.9,36253866.86,2876888.874,4959003.059,7172861.301,121413.1636,8739227.185,5530910.074,132190.1886,2239328.03,1752170.241,97.73001099,98995.25894,169657.3793,8816110,8866386,0,0,0,34271.36069,3661220.075,712227.3078,3765064.738,22978.53795,277980.7241,2387045.872,18.90999985,0,0,1192684.57,177.2670269,59.70001221,1280.865216,117303.2933,1726.82405,440.1413822,272495314.9,26652.10218,2799618.088,11286853.53,1037317.746,18172440.25,9340093.798,1509694.413,56013.33413,977677.5776,17879140,52750,0,6986587.75,729398.1022,100015.6012,132321.7026,203380.5994,18991.25,276.2200006,33583.64992,1457544.164,3324.334974,1194625990,60490582,4503253.695,452414.7873,711826.2641,#N/A N/A
TURNOVER_TODAY_REALTIME,1757108003,458581.0012,282094858.3,493875884.8,33227.60205,40542704.58,4050867.024,408997510,6469790215,923488890,35513094,38466048,2793455.231,385267787,265190687,112478044,32972225,3925071699,969303937,857689450,513490099.5,625507240,2508791552,625507240,0,0,0,12351.95038,#N/A N/A,2975126.006,29249372.2,192295007.9,499984956.2,29936175,137177124.5,3364447.531,187343.1123,274128.77,2271669.477,7781159.816,23998138.9,36253866.86,2876888.874,4959003.059,7172861.301,121413.1636,8739227.185,5530910.074,132190.1886,2239328.03,1752170.241,97.73001099,98995.25894,169657.3793,8816136.616,8866364.535,#N/A N/A,#N/A N/A,#N/A N/A,34271.36069,3661220.075,712227.3078,3765064.738,22978.53795,277980.7241,2387045.872,#N/A N/A,#N/A N/A,#N/A N/A,1192684.57,177.2670269,59.70001221,1280.865216,117303.2933,1726.82405,440.1413822,272495314.9,26652.10218,2799618.088,11286853.53,1037317.746,18172440.25,9340093.798,1509694.413,56013.33413,977677.5776,17879140,52750,0,6986587.75,729398.1022,100015.6012,132321.7026,#N/A N/A,18991.25,276.2200006,33583.64992,1457544.164,3324.334974,1194625990,60490582,4503253.695,452414.7873,711826.2641,#N/A N/A
OPEN_INT,115021,88188,2976353,233830,5898,327850,231214,354063,361437,83236,257642,257642,169532,100960,11108,265774,4889,3779287,660149,107406,189030,44703,42163,44703,386279,34471,250049,174819,1600,1404381,1077776,2640732,2826804,147871,565898,583891,153841,408920,464957,970078,1118405,1328419,118910,547673,479553,47426,227781,267795,180044,773854,862770,31259,65317,77445,286934,90068,2422664,61420,0,367552,148681,110754,227975,101596,35289,73976,20212,0,563993,43565,1072,820,4416,11234,30978,10064,349573,1903,22259,67962,157162,110259,190817,58662,112976,74841,130984,131,4706,512300,181683,52675,73520,4088,5754,5390,14666,122552,7813,284314,406203,156959,173045,458606,254451
ID_EXCH_SYMBOL,YM,SP,ES,NQ,RV,TF,SXF,NK225,NK225M,NIY,AP,AP,TW,HSI,MHI,HHI,MCH,FESX,Z,FDAX,FCE,FTMIB,FIE,FTMIB,OMXS30,IPC,IND,ZQ,GLB,GE,ZT,ZF,ZN,TN,ZB,UB,BAX,CGB,I,FGBS,FGBM,FGBL,FGBX,L,R,S,FOAT,FBTP,IR,YT,XT,BB,EY,JGBL,65,67,DI1,TE28,CE91,6E,6J,6C,6B,6M,6S,6A,DA18,FRC,DOL,6N,SEK,NOK,6Z,RY,RP,RF,GC,HG,PA,PL,SI,G,CL,HO,NG,RB,jm,204,ICF,ZC,CT,HE,LE,LBS,ZO,DC,OJ,RS,ZR,ru,ZS,ZM,ZL,SB,ZW
EMIR_ASSET_CLASS,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,EQ,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CU,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO,CO
EMIR_BASE_PRODUCT,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU,FU
AIFMD_EXPOSURE_RPT_MACRO_AST_TYP,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER
AIFMD_EXPOSURE_RPT_AST_TYP,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_OTH,DER_IRD,DER_IRD,DER_IRD,DER_FID,DER_FID,DER_FID,DER_FID,DER_FID,DER_FID,DER_IRD,DER_FID,DER_IRD,DER_FID,DER_FID,DER_FID,DER_FID,DER_IRD,DER_FID,DER_IRD,DER_FID,DER_FID,DER_IRD,DER_FID,DER_FID,DER_IRD,DER_IRD,DER_FID,DER_FID,DER_FID,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_IRD,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY,DER_CTY
AIFMD_EXPOSURE_RPT_SUB_AST_TYP,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_OTH_OTHR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_IRD_INTR,DER_FID_FIXI,DER_IRD_INTR,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_IRD_INTR,DER_FID_FIXI,DER_IRD_INTR,DER_FID_FIXI,DER_FID_FIXI,DER_IRD_INTR,DER_FID_FIXI,DER_FID_FIXI,DER_IRD_INTR,DER_IRD_INTR,DER_FID_FIXI,DER_FID_FIXI,DER_FID_FIXI,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_IRD_INTR,DER_CTY_PMOT,DER_CTY_OTIM,DER_CTY_PMOT,DER_CTY_PMOT,DER_CTY_PMOT,DER_CTY_ENOT,DER_CTY_ECOL,DER_CTY_ENOT,DER_CTY_ENNG,DER_CTY_ENOT,DER_CTY_ENOT,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTHR,DER_CTY_OTLS,DER_CTY_OTLS,DER_CTY_OTIM,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTIM,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP,DER_CTY_OTAP
AIFMD_TURNOVER_RPT_MACRO_AST_TYP,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER,DER
