,DMU6 Index,SPU6 Index,ESU6 Index,NQU6 Index,RMU6 Index,RTAU6 Index,PTU6 Index,NKU6 Index,NHU6 Index,NIU6 Index,XPU6 Index,XPU6 Index,TWA Index,HIA Index,HUA Index,HCA Index,MHCA Index,VGA Index,Z A Index,GXA Index,CFA Index,STA Index,IBA Index,STA Index,QCA Index,SMU6 Index,BZQ6 Index,FFN6 Comdty,EDZ6 Comdty,TUU6 Comdty,FVU6 Comdty,TYU6 Comdty,UXYU6 Comdty,USU6 Comdty,WNU6 Comdty,BAZ6 Comdty,CNU6 Comdty,ERZ6 Comdty,DUU6 Comdty,OEU6 Comdty,RXU6 Comdty,UBU6 Comdty,L Z6 Comdty,G U6 Comdty,ESZ6 Comdty,OATU6 Comdty,IKU6 Comdty,IRZ6 Comdty,YMU6 Comdty,XMU6 Comdty,ZBZ6 Comdty,YEU6 Comdty,JBU6 Comdty,KEU6 Comdty,KAAU6 Comdty,ODF7 Comdty,DON6 Comdty,GMN6 Comdty,ECU6 COMB Curncy,JYU6 COMB Curncy,CDU6 COMB Curncy,BPU6 COMB Curncy,PEU6 COMB Curncy,SFU6 COMB Curncy,ADU6 COMB Curncy,DSN6 Curncy,GDV6 Curncy,UCQ6 Curncy,NVA Curncy,SEA Curncy,NOA Curncy,RAA Curncy,RYA Curncy,RPA Curncy,RFA Curncy,GC1 Comdty,HGQ6 Comdty,PAU6 Comdty,PLA Comdty,SIU6 Comdty,QSA Comdty,CLA Comdty,HOA Comdty,NGA Comdty,XBA Comdty,CKCA Comdty,JEA Comdty,KCU6 Comdty,AXU6 Comdty,C U6 Comdty,CTA Comdty,LHQ6 Comdty,LCQ6 Comdty,LBA Comdty,O Z6 Comdty,DAN6 Comdty,JOA Comdty,RSA Comdty,RRU6 Comdty,RTA Comdty,S A Comdty,SMA Comdty,BOA Comdty,SBA Comdty,W A Comdty
EXCH_NAME,Chicago Board of Trade,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,ICE Futures US Indices,ICE Futures US Indices,Montreal Exchange,Osaka Exchange,Chicago Mercantile Exchange,Singapore Exchange (was SIMEX),ASX Trade24,ASX Trade24,Singapore Exchange (was SIMEX),Hong Kong Futures Exchange,Hong Kong Futures Exchange,Hong Kong Futures Exchange,Hong Kong Futures Exchange,Eurex,ICE Futures Europe Financials,Eurex,Euronext Derivatives Paris,Borsa Italiana (IDEM),Meff Renta Variable (Madrid),Borsa Italiana (IDEM),OMX Nordic Exchange Stockholm,Mercado Mexicano de Derivados,Bolsa de Mercadorias e Futuros,Chicago Board of Trade,Chicago Mercantile Exchange,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Montreal Exchange,Montreal Exchange,ICE Futures Europe Financials,Eurex,Eurex,Eurex,Eurex,ICE Futures Europe Financials,ICE Futures Europe Financials,ICE Futures Europe Financials,Eurex,Eurex,ASX Trade24,ASX Trade24,ASX Trade24,ASX Trade24,Tokyo Financial Exchange,Osaka Exchange,Korea Exchange,Korea Exchange,Bolsa de Mercadorias e Futuros,Mercado Mexicano de Derivados,Mercado Mexicano de Derivados,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Mercado Mexicano de Derivados,Bolsa de Mercadorias e Futuros,Bolsa de Mercadorias e Futuros,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,"Commodity Exchange, Inc.","Commodity Exchange, Inc.",New York Mercantile Exchange,New York Mercantile Exchange,"Commodity Exchange, Inc.",ICE Futures Europe Commodities,New York Mercantile Exchange,New York Mercantile Exchange,New York Mercantile Exchange,New York Mercantile Exchange,Dalian Commodity Exchange,Tokyo Commodity Exchange,ICE Futures US Softs,Bolsa de Mercadorias e Futuros,Chicago Board of Trade,ICE Futures US Softs,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Board of Trade,Chicago Mercantile Exchange,ICE Futures US Softs,ICE Futures Canada,Chicago Board of Trade,Shanghai Futures Exchange,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,ICE Futures US Softs,Chicago Board of Trade
City,Chicago,Chicago,Chicago,Chicago,ICE Futures US Indices,ICE Futures US Indices,Montreal Exchange,Osaka Exchange,Chicago Mercantile Exchange,Singapore Exchange (was SIMEX),ASX Trade24,ASX Trade24,Singapore Exchange (was SIMEX),Hong Kong Futures Exchange,Hong Kong Futures Exchange,Hong Kong Futures Exchange,Hong Kong Futures Exchange,Eurex,ICE Futures Europe Financials,Eurex,Euronext Derivatives Paris,Borsa Italiana (IDEM),Meff Renta Variable (Madrid),Borsa Italiana (IDEM),OMX Nordic Exchange Stockholm,Mercado Mexicano de Derivados,Bolsa de Mercadorias e Futuros,Chicago Board of Trade,Chicago Mercantile Exchange,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,Montreal Exchange,Montreal Exchange,ICE Futures Europe Financials,Eurex,Eurex,Eurex,Eurex,ICE Futures Europe Financials,ICE Futures Europe Financials,ICE Futures Europe Financials,Eurex,Eurex,ASX Trade24,ASX Trade24,ASX Trade24,ASX Trade24,Tokyo Financial Exchange,Osaka Exchange,Korea Exchange,Korea Exchange,Bolsa de Mercadorias e Futuros,Mercado Mexicano de Derivados,Mercado Mexicano de Derivados,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Mercado Mexicano de Derivados,Bolsa de Mercadorias e Futuros,Bolsa de Mercadorias e Futuros,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,"Commodity Exchange, Inc.","Commodity Exchange, Inc.",New York Mercantile Exchange,New York Mercantile Exchange,"Commodity Exchange, Inc.",ICE Futures Europe Commodities,New York Mercantile Exchange,New York Mercantile Exchange,New York Mercantile Exchange,New York Mercantile Exchange,Dalian Commodity Exchange,Tokyo Commodity Exchange,ICE Futures US Softs,Bolsa de Mercadorias e Futuros,Chicago Board of Trade,ICE Futures US Softs,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Mercantile Exchange,Chicago Board of Trade,Chicago Mercantile Exchange,ICE Futures US Softs,ICE Futures Canada,Chicago Board of Trade,Shanghai Futures Exchange,Chicago Board of Trade,Chicago Board of Trade,Chicago Board of Trade,ICE Futures US Softs,Chicago Board of Trade
EXCH_CODE,CBT,CME,CME,CME,NYF,NYF,MSE,OSE,CME,SGX,SFE,SFE,SGX,HKG,HKG,HKG,HKG,EUX,ICF,EUX,EOP,MIL,MFM,MIL,SSE,MDX,BMF,CBT,CME,CBT,CBT,CBT,CBT,CBT,CBT,MSE,MSE,ICF,EUX,EUX,EUX,EUX,ICF,ICF,ICF,EUX,EUX,SFE,SFE,SFE,SFE,TFX,OSE,KFE,KFE,BMF,MDX,MDX,CME,CME,CME,CME,CME,CME,CME,MDX,BMF,BMF,CME,CME,CME,CME,CME,CME,CME,CMX,CMX,NYM,NYM,CMX,ICE,NYM,NYM,NYM,NYM,DCE,TCM,NYB,BMF,CBT,NYB,CME,CME,CME,CBT,CME,NYB,WCE,CBT,SHF,CBT,CBT,CBT,NYB,CBT
EXCH_FEED,XCBT,XCME,XCME,XCME,IFUS,IFUS,XMOD,XOSE,XCME,XSIM,XSFE,XSFE,XSIM,XHKF,XHKF,XHKF,XHKF,XEUR,IFLL,XEUR,XMON,XDMI,XMRV,XDMI,XSTO,XEMD,BVMF,XCBT,XCME,XCBT,XCBT,XCBT,XCBT,XCBT,XCBT,XMOD,XMOD,IFLL,XEUR,XEUR,XEUR,XEUR,IFLL,IFLL,IFLL,XEUR,XEUR,XSFE,XSFE,XSFE,XSFE,XTFF,XOSE,XKFE,XKFE,BVMF,XEMD,XEMD,XCME,XCME,XCME,XCME,XCME,XCME,XCME,XEMD,BVMF,BVMF,XCME,XCME,XCME,XCME,XCME,XCME,XCME,XCEC,XCEC,XNYM,XNYM,XCEC,IFEU,XNYM,XNYM,XNYM,XNYM,XDCE,XTKT,IFUS,BVMF,XCBT,IFUS,XCME,XCME,XCME,XCBT,XCME,IFUS,IFCA,XCBT,XSGE,XCBT,XCBT,XCBT,IFUS,XCBT
TIME_ZONE_NUM,-5,-5,-5,-5,-4,-4,-4,9,-6,8,10,10,8,8,8,8,8,2,1,2,2,2,2,2,2,-5,-3,-5,-5,-5,-5,-5,-5,-5,-5,-4,-4,1,2,2,2,2,1,1,1,2,2,10,10,10,12,9,9,9,9,-3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-3,-3,-5,-5,-5,-5,-5,-5,-5,-4,-4,-4,-4,-4,1,-4,-4,-4,-4,8,9,-5,-3,-5,-4,-5,-5,-5,-5,-5,-4,-5,-5,8,-5,-5,-5,-4,-5
TICKER,DMU6,SPU6,ESU6,NQU6,RMU6,RTAU6,PTU6,NKU6,NHU6,NIU6,XPU6,XPU6,TWN6,HIN6,HUN6,HCN6,MHCN6,VGU6,Z U6,GXU6,CFN6,STU6,IBN6,STU6,QCQ6,ISU6,BZQ6,FFN6,EDZ6,TUU6,FVU6,TYU6,UXYU6,USU6,WNU6,BAZ6,CNU6,ERZ6,DUU6,OEU6,RXU6,UBU6,L Z6,G U6,ESZ6,OATU6,IKU6,IRZ6,YMU6,XMU6,ZBZ6,YEU6,JBU6,KEU6,KAAU6,ODF7,DON6,GMN6,ECU6,JYU6,CDU6,BPU6,PEU6,SFU6,ADU6,DSN6,GDV6,UCQ6,NVU6,SEU6,NOU6,RAU6,RYU6,RPU6,RFU6,GC1,HGQ6,PAU6,PLV6,SIU6,QSQ6,CLQ6,HOQ6,NGQ6,XBQ6,CKCU6,JEZ6,KCU6,AXU6,C U6,CTZ6,LHQ6,LCQ6,LBU6,O Z6,DAN6,JOU6,RSX6,RRU6,RTU6,S X6,SMZ6,BOZ6,SBV6,W U6
NAME,DJIA MINI e-CBOT  Sep16,S&P 500 FUTURE    Sep16,S&P500 EMINI FUT  Sep16,NASDAQ 100 E-MINI Sep16,RUSSELL 1000 MINI Sep16,Russell 2000 Mini Sep16,S&P/TSX 60 IX FUT Sep16,NIKKEI 225  (OSE) Sep16,YEN DENOM NIKKEI  Sep16,NIKKEI 225  (SGX) Sep16,SPI 200 FUTURES   Sep16,SPI 200 FUTURES   Sep16,MSCI TAIWAN INDEX Jul16,HANG SENG IDX FUT Jul16,MINI HSI IDX FUT  Jul16,H-SHARES IDX FUT  Jul16,MINI H-SHR IDX FU Jul16,EURO STOXX 50     Sep16,FTSE 100 IDX FUT  Sep16,DAX INDEX FUTURE  Sep16,CAC40 10 EURO FUT Jul16,FTSE/MIB IDX FUT  Sep16,IBEX 35 INDX FUTR Jul16,FTSE/MIB IDX FUT  Sep16,OMXS30 IND FUTURE Aug16,MEX BOLSA IDX FUT Sep16,BOVESPA INDEX FUT Aug16,FED FUND 30DAY    Jul16,90DAY EURO$ FUTR  Dec16,US 2YR NOTE (CBT) Sep16,US 5YR NOTE (CBT) Sep16,US 10YR NOTE (CBT)Sep16,US 10yr Ultra Fut Sep16,US LONG BOND(CBT) Sep16,US ULTRA BOND CBT Sep16,BANK ACCEPT FUTR  Dec16,CAN 10YR BOND FUT Sep16,3MO EURO EURIBOR  Dec16,EURO-SCHATZ FUT   Sep16,EURO-BOBL FUTURE  Sep16,EURO-BUND FUTURE  Sep16,EURO BUXL 30Y BND Sep16,90DAY STERLING FU Dec16,LONG GILT FUTURE  Sep16,Euro CHF 3MO ICE  Dec16,Euro-OAT Future   Sep16,Euro-BTP Future   Sep16,90-DAY BANK BILL  Dec16,AUST 3YR BOND FUT Sep16,AUST 10Y BOND FUT Sep16,NEW ZEAL 3MO BILL Dec16,3MO EUROYEN TFX   Sep16,JPN 10Y BOND(OSE) Sep16,KOREA 3YR BND FUT Sep16,KOREA 10YR BND FU Sep16,ONE-DAY BANK DEP  Jan17,MEXICAN TIIE      Jul16,MEXICAN CETES     Jul16,EURO FX CURR FUT  Sep16,JPN YEN CURR FUT  Sep16,C$ CURRENCY FUT   Sep16,BP CURRENCY FUT   Sep16,MEXICAN PESO FUT  Sep16,CHF CURRENCY FUT  Sep16,AUDUSD Crncy Fut  Sep16,US DOLLAR FUT     Jul16,FRA CUPOM CAMBIAL Oct16,BMF US Dollar Fut Aug16,NEW ZEALAND $ FUT Sep16,SWEDISH KRONA FUT Sep16,NORWEGIAN KRONE   Sep16,SA RAND CURR(CME) Sep16,EURO/JPY FUTURE   Sep16,EURO/GBP FUTURE   Sep16,EURO/CHF FUTURE   Sep16,Generic 1st 'GC' Future,COPPER FUTURE     Aug16,PALLADIUM FUTURE  Sep16,PLATINUM FUTURE   Oct16,SILVER FUTURE     Sep16,Low Su Gasoil G   Aug16,WTI CRUDE FUTURE  Aug16,NY Harb ULSD Fut  Aug16,NATURAL GAS FUTR  Aug16,GASOLINE RBOB FUT Aug16,Coking Coal Futur Sep16,RED BEANS   (TCM) Dec16,COFFEE 'C' FUTURE Sep16,INT'L ARABICA COF Sep16,CORN FUTURE       Sep16,COTTON NO.2 FUTR  Dec16,LEAN HOGS FUTURE  Aug16,LIVE CATTLE FUTR  Aug16,LUMBER FUTURE     Sep16,OAT FUTURE        Dec16,MILK FUTURE       Jul16,FCOJ-A FUTURE     Sep16,CANOLA FUTR (WCE) Nov16,ROUGH RICE (CBOT) Sep16,RUBBER FUT (SHFE) Sep16,SOYBEAN FUTURE    Nov16,SOYBEAN MEAL FUTR Dec16,SOYBEAN OIL FUTR  Dec16,SUGAR #11 (WORLD) Oct16,WHEAT FUTURE(CBT) Sep16
ID_EXCH_SYMBOL,YM,SP,ES,NQ,RF,TF,SXF,NK225,NIY,NK,AP,AP,TW,HSI,MHI,HHI,MCH,FESX,Z,FDAX,FCE,FTMIB,FIE,FTMIB,OMXS30,IPC,IND,ZQ,GE,ZT,ZF,ZN,TN,ZB,UB,BAX,CGB,I,FGBS,FGBM,FGBL,FGBX,L,R,S,FOAT,FBTP,IR,YT,XT,BB,EY,JGBL,65,67,DI1,TE28,CE91,6E,6J,6C,6B,6M,6S,6A,DA18,FRC,DOL,6N,SEK,NOK,6Z,RY,RP,RF,GC,HG,PA,PL,SI,G,CL,HO,NG,RB,jm,204,KC,ICF,ZC,CT,HE,LE,LBS,ZO,DC,OJ,RS,ZR,ru,ZS,ZM,ZL,SB,ZW
ID_BB,DM,SP,ES,NQ,RMU6,RTA,PT,NKU6,NHU6,NIU6,XP,XP,TW,HI,HU,HC,MHC,VG,Z ,GX,CF,ST,IB,ST,QC,IS,BZ,FF,ED,TU,FV,TY,UXY,US,WN,BA,CN,ER,DU,OE,RX,UB,0L,G ,ES,OAT,IK,IR,YM,XM,ZB,YE,JB,KE,KAA,OD,DO,GM,EC,JY,CD,BP,PE,SF,AD,DS,GD,UC,NV,SE,NO,RA,RY,RP,RF,GC,HG,PA,PL,SI,QS,CL,HO,NG,XB,CKC,JE,KCU6,AX,C ,CT,LH,LC,LB,O ,DA,JO,RS,RR,RT,S ,SM,BO,SB,W 
ID_BB_PARSEKEY,DMmY Index,SPmY Index,ESmY Index,NQmY Index,RMmY Index,RTAmY Index,PTmY Index,NKmY Index,NIYmY Index,NHU6 Index,XPmY Index,XPmY Index,TWmY Index,HImY Index,HUmY Index,HCmY Index,MHCmY Index,VGmY Index,Z mY Index,GXmY Index,CFmY Index,STmY Index,IBmY Index,STmY Index,QCmY Index,ISmY Index,BZmY Index,FFmY Comdty,EDmY Comdty,TUmY Comdty,FVmY Comdty,TYmY Comdty,UXYmY Comdty,USmY Comdty,WNmY Comdty,BAmY Comdty,CNmY Comdty,ERmY Comdty,DUmY Comdty,OEmY Comdty,RXmY Comdty,UBmY Comdty,0LmY Comdty,G mY Comdty,ESmY Comdty,OATmY Comdty,IKmY Comdty,IRmY Comdty,YMmY Comdty,XMmY Comdty,ZBmY Comdty,YEmY Comdty,JBmY Comdty,KEmY Comdty,KAAmY Comdty,ODmY Comdty,DOmY Comdty,GMmY Comdty,ECmY Curncy,JYmY Curncy,CDmY Curncy,BPmY Curncy,PEmY Curncy,SFmY Curncy,ADmY Curncy,DSmY Curncy,GDmY Curncy,UCmY Curncy,NVmY Curncy,SEmY Curncy,NOmY Curncy,RAmY Curncy,RYmY Curncy,RPmY Curncy,RFmY Curncy,GCmY Comdty,HGmY Comdty,PAmY Comdty,PLmY Comdty,SImY Comdty,QSmY Comdty,CLmY Comdty,HOmY Comdty,NGmY Comdty,XBmY Comdty,CKCmY Comdty,JEmY Comdty,KCmY Index,AXmY Comdty,C mY Comdty,CTmY Comdty,LHmY Comdty,LCmY Comdty,LBmY Comdty,O mY Comdty,DAmY Comdty,JOmY Comdty,RSmY Comdty,RRmY Comdty,RTmY Comdty,S mY Comdty,SMmY Comdty,BOmY Comdty,SBmY Comdty,W mY Comdty
